id,title,description,category,priority
2579,Report: EV-121 requires software update for the onboard diagnostics system.,EV-121 requires software update for the onboard diagnostics system.,Maintenance,High
2580,Report: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Medium
2581,Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,High
2582,Issue: GPS tracking for EV-105 is showing an incorrect location.,GPS tracking for EV-105 is showing an incorrect location.,Technical,High
2583,Issue: Delhi North Hub reported a power outage affecting charging operations.,Delhi North Hub reported a power outage affecting charging operations.,Hub Operations,Medium
2584,Report: EV-119 brakes feel soft and need inspection.,EV-119 brakes feel soft and need inspection.,Vehicle,Critical
2585,Mobile app crashes when trying to book a ride from Bangalore South Hub.,Mobile app crashes when trying to book a ride from Bangalore South Hub.,Technical,High
2586,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
2587,Issue: EV-117 tyre pressure warning light is on.,EV-117 tyre pressure warning light is on.,Vehicle,Critical
2588,Issue: EV-112 is making unusual noise from the motor.,EV-112 is making unusual noise from the motor.,Vehicle,Critical
2589,Report: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
2590,Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
2591,Report: EV-106 is not charging at station 1.,EV-106 is not charging at station 1.,Charging,Low
2592,Alert: EV-126 is due for scheduled maintenance and has not been serviced.,EV-126 is due for scheduled maintenance and has not been serviced.,Maintenance,High
2593,Report: EV-127 AC is not working properly.,EV-127 AC is not working properly.,Vehicle,Medium
2594,Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,High
2595,Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Low
2596,Issue: Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,Medium
2597,Report: EV-101 brakes feel soft and need inspection.,EV-101 brakes feel soft and need inspection.,Vehicle,Critical
2598,Issue: Battery health indicator for EV-113 has degraded significantly this month.,Battery health indicator for EV-113 has degraded significantly this month.,Battery,Critical
2599,Report: Battery percentage dropped unusually fast during the last trip for EV-112.,Battery percentage dropped unusually fast during the last trip for EV-112.,Battery,Critical
2600,Alert: EV-119 is not charging at station 1.,EV-119 is not charging at station 1.,Charging,Critical
2601,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Low
2602,Report: EV-118 shows charging error code and will not start charging.,EV-118 shows charging error code and will not start charging.,Charging,High
2603,Alert: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
2604,Alert: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
2605,Issue: EV-121 battery percentage is not increasing despite being connected at station 7.,EV-121 battery percentage is not increasing despite being connected at station 7.,Charging,Low
2606,Issue: Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,High
2607,Issue: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Medium
2608,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,High
2609,Report: EV-107 is not charging at station 8.,EV-107 is not charging at station 8.,Charging,Critical
2610,Report: EV-117 requires software update for the onboard diagnostics system.,EV-117 requires software update for the onboard diagnostics system.,Maintenance,High
2611,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver,Critical
2612,Charging cable at station 6 appears damaged and vehicle is not accepting charge.,Charging cable at station 6 appears damaged and vehicle is not accepting charge.,Charging,High
2613,Issue: Ride was cancelled midway without explanation for EV-105.,Ride was cancelled midway without explanation for EV-105.,Ride,Medium
2614,Report: Routine inspection revealed a coolant leak in EV-127.,Routine inspection revealed a coolant leak in EV-127.,Maintenance,High
2615,Report: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
2616,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
2617,EV-111 battery percentage is not increasing despite being connected at station 7.,EV-111 battery percentage is not increasing despite being connected at station 7.,Charging,Medium
2618,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
2619,Issue: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,High
2620,Issue: EV-114 is making unusual noise from the motor.,EV-114 is making unusual noise from the motor.,Vehicle,Critical
2621,"EV-103 shuts down unexpectedly, suspected battery fault.","EV-103 shuts down unexpectedly, suspected battery fault.",Battery,Critical
2622,Issue: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
2623,Alert: GPS tracking for EV-113 is showing an incorrect location.,GPS tracking for EV-113 is showing an incorrect location.,Technical,Medium
2624,Issue: Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,Low
2625,Report: Mobile app crashes when trying to book a ride from Delhi North Hub.,Mobile app crashes when trying to book a ride from Delhi North Hub.,Technical,Medium
2626,Issue: Charging cable at station 4 appears damaged and vehicle is not accepting charge.,Charging cable at station 4 appears damaged and vehicle is not accepting charge.,Charging,Critical
2627,Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
2628,EV-122 broke down during operation near Pune Central Hub.,EV-122 broke down during operation near Pune Central Hub.,Vehicle,Critical
2629,EV-117 is making unusual noise from the motor.,EV-117 is making unusual noise from the motor.,Vehicle,High
2630,Issue: Mumbai East Hub reported a power outage affecting charging operations.,Mumbai East Hub reported a power outage affecting charging operations.,Hub Operations,Critical
2631,Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,High
2632,Issue: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Low
2633,Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
2634,Issue: EV-101 is not charging at station 5.,EV-101 is not charging at station 5.,Charging,High
2635,Issue: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Low
2636,Issue: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Low
